"Time,ETH_USD,ETH_USDT,ETH_USDC,BTC_USD,BTC_USDT,BTC_USDC,LTC_USD,LTC_USDT""20230419 10:01:23,1989.73,1990.27,1990.49,29217.8,29209.6,29233.1,95.15,95.14"
"20230419 10:32:34,1982.76,1981.87,1982.68,29216.4,29210.0,29223.5,95.34,95.27"
"20230419 10:32:45,1982.18,1981.25,1981.85,29204.1,29198.1,29210.9,95.32,95.24"
"20230419 10:32:57,1982.13,1981.0,1981.66,29199.0,29190.0,29202.3,95.28,95.21"
"20230419 10:33:08,1982.13,1981.0,1981.65,29196.5,29190.0,29202.7,95.3,95.21"
"20230419 10:33:19,1982.13,1981.19,1982.05,29205.3,29191.6,29207.6,95.29,95.23"
"20230419 10:33:30,1982.13,1981.1,1982.06,29205.3,29191.6,29204.6,95.3,95.24"
"20230419 10:33:41,1981.93,1981.25,1981.74,29205.3,29193.7,29207.6,95.32,95.25"
"20230419 10:33:52,1982.29,1981.28,1981.88,29214.6,29199.9,29216.7,95.33,95.25"
"20230419 10:34:03,1982.41,1981.48,1982.26,29220.9,29209.9,29225.2,95.38,95.3"
"20230419 10:34:15,1981.93,1981.0,1981.68,29214.7,29204.9,29218.3,95.43,95.35"
"20230419 10:34:26,1981.93,1980.8,1981.52,29214.7,29199.9,29216.7,95.42,95.34"
"20230419 10:34:37,1981.93,1981.27,1981.92,29216.4,29199.9,29219.2,95.43,95.36"
"20230419 10:34:48,1982.6,1981.79,1982.32,29226.9,29214.9,29229.5,95.43,95.36"
"20230419 10:34:59,1982.46,1981.33,1982.02,29226.9,29212.4,29226.4,95.43,95.35"
"20230419 10:35:10,1982.45,1981.58,1982.27,29231.4,29215.6,29229.7,95.42,95.35"
"20230419 10:35:21,1982.45,1981.62,1982.27,29231.8,29218.9,29233.8,95.43,95.36"
"20230419 10:35:32,1982.45,1981.79,1982.27,29234.3,29221.5,29235.7,95.41,95.34"
"20230419 10:35:44,1982.45,1981.86,1982.27,29239.2,29229.9,29243.8,95.43,95.37"
"20230419 10:35:55,1983.23,1981.86,1982.87,29248.5,29238.9,29249.9,95.46,95.4"
"20230419 10:36:06,1983.43,1981.97,1983.24,29264.8,29251.2,29266.6,95.46,95.42"
"20230419 10:36:17,1984.09,1982.99,1984.34,29266.5,29255.1,29268.4,95.51,95.45"
"20230419 10:36:28,1984.99,1984.4,1984.99,29272.7,29257.3,29274.6,95.51,95.46"
"20230419 10:36:39,1985.43,1984.87,1985.59,29272.7,29256.4,29274.6,95.53,95.46"
"20230419 10:36:50,1987.39,1985.8,1987.13,29283.4,29268.6,29283.1,95.69,95.61"
"20230419 10:37:02,1985.48,1984.64,1985.73,29274.8,29262.7,29277.6,95.59,95.52"
"20230419 10:37:13,1986.4,1984.99,1986.34,29302.9,29295.9,29308.4,95.66,95.58"
"20230419 10:37:24,1987.52,1986.36,1987.33,29311.1,29300.0,29311.5,95.63,95.52"
"20230419 10:37:35,1987.2,1985.62,1986.73,29289.8,29280.5,29292.6,95.58,95.5"
"20230419 10:37:46,1986.88,1986.15,1987.03,29298.5,29289.9,29297.1,95.63,95.56"
"20230419 10:37:57,1986.88,1986.24,1987.13,29294.5,29282.3,29295.6,95.67,95.58"
"20230419 10:38:09,1987.08,1986.26,1987.73,29299.2,29288.5,29298.5,95.58,95.53"
